line	triple	reasons
185	Festival CrewOfCyclists Cyclist	a='Festival' is an event/temporary activity, not a stable aggregator
190	Festival CrewOfSkiers Skier	a='Festival' is an event/temporary activity, not a stable aggregator
195	Festival CrewOfSurfers Surfer	a='Festival' is an event/temporary activity, not a stable aggregator
200	Festival CrewOfHikers Hiker	a='Festival' is an event/temporary activity, not a stable aggregator
205	Festival CrewOfCampers Camper	a='Festival' is an event/temporary activity, not a stable aggregator
210	Festival CrewOfScouts Scout	a='Festival' is an event/temporary activity, not a stable aggregator
215	Festival CrewOfAthletes Athlete	a='Festival' is an event/temporary activity, not a stable aggregator
220	Festival CrewOfGamers Gamer	a='Festival' is an event/temporary activity, not a stable aggregator
225	Festival CrewOfSpeakers Speaker	a='Festival' is an event/temporary activity, not a stable aggregator
230	Festival CrewOfListeners Listener	a='Festival' is an event/temporary activity, not a stable aggregator
231	Community GroupOfTourists Tourist	c='Tourist' is a transient role, reads as association (not aggregation)
232	Club TeamOfTourists Tourist	c='Tourist' is a transient role, reads as association (not aggregation)
233	School ClubOfTourists Tourist	c='Tourist' is a transient role, reads as association (not aggregation)
234	Company StaffOfTourists Tourist	c='Tourist' is a transient role, reads as association (not aggregation)
235	Festival CrewOfTourists Tourist	a='Festival' is an event/temporary activity, not a stable aggregator | c='Tourist' is a transient role, reads as association (not aggregation)
240	Festival CrewOfBartenders Bartender	a='Festival' is an event/temporary activity, not a stable aggregator
245	Festival CrewOfLibrarians Librarian	a='Festival' is an event/temporary activity, not a stable aggregator
250	Festival CrewOfGardeners Gardener	a='Festival' is an event/temporary activity, not a stable aggregator
255	Festival CrewOfFarmers Farmer	a='Festival' is an event/temporary activity, not a stable aggregator
260	Festival CrewOfBakers Baker	a='Festival' is an event/temporary activity, not a stable aggregator
265	Festival CrewOfBaristas Barista	a='Festival' is an event/temporary activity, not a stable aggregator
266	Community GroupOfShoppers Shopper	c='Shopper' is a transient role, reads as association (not aggregation)
267	Club TeamOfShoppers Shopper	c='Shopper' is a transient role, reads as association (not aggregation)
268	School ClubOfShoppers Shopper	c='Shopper' is a transient role, reads as association (not aggregation)
269	Company StaffOfShoppers Shopper	c='Shopper' is a transient role, reads as association (not aggregation)
270	Festival CrewOfShoppers Shopper	a='Festival' is an event/temporary activity, not a stable aggregator | c='Shopper' is a transient role, reads as association (not aggregation)
275	Festival CrewOfOrganizers Organizer	a='Festival' is an event/temporary activity, not a stable aggregator
280	Festival CrewOfPerformers Performer	a='Festival' is an event/temporary activity, not a stable aggregator
285	Festival CrewOfComedians Comedian	a='Festival' is an event/temporary activity, not a stable aggregator
290	Festival CrewOfPhotographers Photographer	a='Festival' is an event/temporary activity, not a stable aggregator
295	Festival CrewOfDesigners Designer	a='Festival' is an event/temporary activity, not a stable aggregator
300	Conference PanelOfReporters Reporter	a='Conference' is an event/temporary activity, not a stable aggregator | people b prefix 'Panel' is not an allowed stable aggregation group
302	Court PanelOfJurors Juror	people b prefix 'Panel' is not an allowed stable aggregation group
305	Court CircleOfJurors Juror	b uses temporary group type 'Circle' | people b prefix 'Circle' is not an allowed stable aggregation group
310	Festival CrewOfReceptionists Receptionist	a='Festival' is an event/temporary activity, not a stable aggregator
315	Festival CrewOfJanitors Janitor	a='Festival' is an event/temporary activity, not a stable aggregator
320	Festival CrewOfGuides Guide	a='Festival' is an event/temporary activity, not a stable aggregator
